Date : 2025-05-04 13:11:03
Directory : c:\Users\Administrator\Desktop\bakalauras\JourneyFy
Total : 289 files,  39628 codes, 121 comments, 2054 blanks, all 41803 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |     21,150 |          0 |          4 |     21,154 |
| JavaScript         |        257 |     16,425 |        119 |      1,867 |     18,411 |
| TypeScript JSX     |         22 |      1,878 |          2 |        146 |      2,026 |
| TypeScript         |          4 |        124 |          0 |         19 |        143 |
| Markdown           |          1 |         47 |          0 |         17 |         64 |
| JSON with Comments |          1 |          4 |          0 |          1 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                     |        289 |     39,628 |        121 |      2,054 |     41,803 |
| . (Files)                                                                                                                             |         10 |     21,260 |          0 |         27 |     21,287 |
| __mocks__                                                                                                                             |          2 |         17 |          0 |          5 |         22 |
| __mocks__ (Files)                                                                                                                     |          1 |         12 |          0 |          4 |         16 |
| __mocks__\@expo                                                                                                                       |          1 |          5 |          0 |          1 |          6 |
| _tests_                                                                                                                               |         88 |      4,596 |         95 |        819 |      5,510 |
| _tests_\Component                                                                                                                     |         47 |      1,099 |         87 |        204 |      1,390 |
| _tests_\Component\AddAndSendMoney                                                                                                     |          3 |         51 |          7 |         12 |         70 |
| _tests_\Component\AddVehicle                                                                                                          |          3 |        184 |         10 |         32 |        226 |
| _tests_\Component\BankInfo                                                                                                            |          3 |         44 |         11 |          6 |         61 |
| _tests_\Component\CreditCard                                                                                                          |          2 |         31 |          5 |          7 |         43 |
| _tests_\Component\CustomerSupport                                                                                                     |          4 |         49 |          9 |          9 |         67 |
| _tests_\Component\HistoryRideDetail                                                                                                   |          4 |        118 |          8 |         23 |        149 |
| _tests_\Component\Home                                                                                                                |          3 |         81 |          5 |         14 |        100 |
| _tests_\Component\OfferRide                                                                                                           |          4 |         74 |          6 |         16 |         96 |
| _tests_\Component\PaymentMethods                                                                                                      |          1 |         23 |          3 |          4 |         30 |
